name,url,allergens,tags
Kurkuma gemahlen,https://spice-haus.de/products/kurkuma-gemahlen,none,spice|indian|anti-inflammatory
Paprika edelsüß,https://spice-haus.de/products/paprika-edelsuess,none,spice|hungarian|mild
Paprika scharf,https://spice-haus.de/products/paprika-scharf,none,spice|hot|hungarian
Garam Masala,https://spice-haus.de/products/garam-masala,none,spice-blend|indian
Curry Pulver mild,https://spice-haus.de/products/curry-pulver-mild,contains mustard,spice-blend|indian|mild
Za'atar,https://spice-haus.de/products/zaatar,contains sesame,spice-blend|middle-eastern
Schwarzer Sesam,https://spice-haus.de/products/schwarzer-sesam,contains sesame,seed|asian|topping
Senfsamen gelb,https://spice-haus.de/products/senfsamen-gelb,contains mustard,spice|indian|pickling
Basmati Reis,https://spice-haus.de/products/basmati-reis,none,grain|rice|indian
Kichererbsen,https://spice-haus.de/products/kichererbsen,none,legume|protein|middle-eastern
